mean,std,max_time,avg_time
273.67,0.00,3.05,1.02
336.97,0.00,1.09,0.79
405.24,0.00,1.30,0.87
251.64,0.00,1.24,0.89
321.83,0.00,1.03,0.84
159.55,0.00,1.05,0.85
481.52,0.00,1.07,0.85
435.58,0.00,1.41,0.97
231.44,0.00,1.02,0.83
319.66,0.00,1.10,0.76
65.04,0.00,1.08,0.77
355.86,0.00,1.18,0.77
416.39,0.00,3.10,1.03
429.78,0.00,1.14,0.82
110.72,0.00,1.32,0.88
222.14,0.00,1.06,0.82
47.86,0.00,1.03,0.81
372.76,0.00,1.11,0.81
283.71,0.00,1.10,0.86
192.24,0.00,1.67,1.01
282.45,0.00,1.07,0.85
269.93,0.00,1.20,0.80
181.47,0.00,1.08,0.77
261.31,0.00,1.00,0.78
235.76,0.00,3.11,1.01
222.74,0.00,1.08,0.80
247.20,0.00,1.31,0.91
223.92,0.00,1.07,0.85
339.28,0.00,1.14,0.86
361.01,0.00,1.11,0.86
145.70,0.00,1.11,0.85
354.64,0.00,1.47,1.00
330.79,0.00,0.99,0.81
410.08,0.00,1.06,0.81
349.80,0.00,0.92,0.75
514.13,0.00,1.06,0.77
148.72,0.00,3.16,1.09
78.98,0.00,1.39,0.82
142.04,0.00,1.23,0.85
349.13,0.00,1.05,0.85
162.55,0.00,1.17,0.82
364.50,0.00,1.08,0.86
238.44,0.00,1.24,0.87
193.04,0.00,1.58,1.03
521.23,0.00,1.14,0.81
196.92,0.00,1.02,0.79
264.29,0.00,1.03,0.78
201.71,0.00,1.02,0.72
309.01,0.00,3.21,1.06
183.46,0.00,1.31,0.86
84.55,0.00,1.14,0.86
152.75,0.00,1.14,0.84
304.23,0.00,1.22,0.85
262.84,0.00,1.22,0.88
197.86,0.00,1.32,0.85
125.89,0.00,1.33,1.00
447.19,0.00,1.17,0.81
370.60,0.00,0.97,0.78
363.14,0.00,1.02,0.78
404.92,0.00,0.98,0.74
360.68,0.00,3.20,1.05
174.44,0.00,1.35,0.85
252.64,0.00,1.28,0.89
302.61,0.00,1.22,0.86
496.15,0.00,1.13,0.84
238.08,0.00,1.16,0.83
117.47,0.00,1.20,0.83
460.10,0.00,1.34,0.99
277.20,0.00,1.11,0.79
289.77,0.00,1.06,0.78
327.06,0.00,1.08,0.76
329.16,0.00,0.97,0.75
96.52,0.00,3.09,1.05
272.75,0.00,1.15,0.81
292.29,0.00,1.49,0.89
245.61,0.00,1.11,0.84
459.62,0.00,1.31,0.87
251.06,0.00,1.26,0.88
224.06,0.00,1.13,0.82
126.23,0.00,1.26,1.00
349.42,0.00,1.12,0.80
227.83,0.00,0.97,0.78
443.24,0.00,0.93,0.76
337.94,0.00,1.06,0.76
348.81,0.00,3.10,1.06
373.82,0.00,1.35,0.85
189.76,0.00,1.23,0.84
206.72,0.00,1.05,0.83
341.51,0.00,1.03,0.80
395.73,0.00,1.15,0.87
262.83,0.00,1.05,0.85
185.71,0.00,1.50,1.02
344.90,0.00,1.04,0.80
166.64,0.00,1.06,0.80
524.93,0.00,1.01,0.78
249.39,0.00,1.01,0.73
279.46,0.00,0.46,0.32
95.28,0.00,0.39,0.30
356.76,0.00,0.41,0.30
310.22,0.00,0.40,0.30
