mean,std,max_time,avg_time
273.66,0.03,2.05,0.53
336.95,0.08,0.55,0.40
405.54,0.10,0.58,0.40
251.64,0.00,0.56,0.40
321.83,0.00,0.61,0.40
159.56,0.00,0.54,0.37
481.65,0.22,0.51,0.37
435.58,0.00,0.58,0.40
231.44,0.00,0.56,0.40
319.57,0.10,0.55,0.40
65.04,0.00,0.61,0.41
356.06,0.07,0.66,0.42
416.46,0.04,0.59,0.42
430.04,0.10,0.56,0.40
110.72,0.00,0.74,0.44
222.15,0.01,0.78,0.52
47.86,0.00,0.69,0.45
372.58,0.08,0.82,0.45
283.73,0.02,0.65,0.43
192.26,0.01,0.63,0.42
282.45,0.00,0.67,0.44
269.93,0.00,0.62,0.44
181.42,0.04,0.60,0.42
261.42,0.06,0.74,0.47
235.77,0.02,0.66,0.43
222.74,0.00,0.57,0.41
247.21,0.00,0.61,0.41
223.92,0.00,0.59,0.41
339.32,0.05,0.56,0.39
361.27,0.08,0.56,0.40
145.70,0.01,0.62,0.41
354.64,0.00,0.55,0.40
330.84,0.07,0.58,0.42
410.16,0.09,0.62,0.42
349.83,0.00,0.59,0.39
514.13,0.00,0.56,0.40
148.76,0.04,0.73,0.45
78.99,0.00,0.57,0.39
142.04,0.02,0.56,0.40
349.08,0.03,0.63,0.42
162.56,0.01,0.74,0.45
364.50,0.02,0.59,0.41
238.43,0.03,0.60,0.42
193.04,0.00,0.64,0.43
521.25,0.02,0.58,0.41
196.92,0.00,0.58,0.40
264.29,0.00,0.65,0.43
201.66,0.04,0.56,0.40
309.01,0.00,0.61,0.42
183.46,0.00,0.65,0.43
84.55,0.00,0.61,0.42
152.76,0.01,0.57,0.41
304.23,0.00,0.58,0.41
262.95,0.04,0.59,0.41
197.87,0.02,0.53,0.39
125.88,0.01,0.61,0.42
446.98,0.14,0.58,0.41
370.60,0.00,0.57,0.40
363.29,0.05,0.53,0.39
405.10,0.09,0.54,0.40
360.64,0.03,0.58,0.39
174.44,0.00,0.59,0.41
252.68,0.03,0.63,0.41
302.65,0.05,0.56,0.39
496.09,0.11,0.56,0.41
238.08,0.00,0.60,0.42
117.49,0.02,0.70,0.42
460.36,0.18,0.60,0.41
277.21,0.00,0.56,0.41
289.84,0.04,0.64,0.43
327.02,0.03,0.57,0.40
328.92,0.07,0.62,0.44
96.51,0.01,0.67,0.44
272.70,0.06,0.74,0.49
292.26,0.03,0.76,0.49
245.63,0.00,0.66,0.43
459.60,0.03,0.61,0.41
251.06,0.00,0.58,0.42
224.06,0.00,0.58,0.41
126.21,0.03,0.60,0.41
349.45,0.08,0.58,0.40
227.87,0.01,0.58,0.39
443.26,0.04,0.58,0.40
337.99,0.09,0.55,0.40
348.81,0.00,0.60,0.41
373.82,0.00,0.64,0.41
189.76,0.04,0.79,0.47
206.74,0.01,0.74,0.50
341.49,0.00,0.66,0.46
395.94,0.06,0.64,0.44
262.82,0.04,0.68,0.48
185.71,0.00,0.65,0.45
344.93,0.06,0.75,0.48
166.73,0.03,0.76,0.46
524.93,0.01,0.63,0.45
249.26,0.04,0.61,0.42
279.26,0.04,0.68,0.44
95.26,0.01,0.60,0.41
356.76,0.00,0.55,0.41
310.22,0.00,0.56,0.37
