mean,std,max_time,avg_time
188.49,22.50,9.20,3.05
205.45,2.82,6.06,2.65
254.12,12.00,7.42,3.14
171.32,6.94,4.26,2.50
204.36,15.97,6.10,2.71
58.55,0.03,5.34,2.50
253.17,3.59,9.14,3.36
251.35,23.93,6.56,3.33
139.23,0.00,5.47,2.57
208.38,5.00,5.95,2.81
17.76,2.43,3.46,2.43
179.05,2.28,5.77,3.11
252.20,4.53,5.18,2.64
245.99,0.36,5.80,2.98
33.93,2.47,3.70,2.42
114.85,6.83,5.50,2.56
15.70,0.00,3.29,2.31
241.61,0.08,5.93,2.78
166.22,4.30,4.46,2.69
142.43,17.19,4.12,2.45
163.87,3.13,6.70,2.87
157.69,0.02,3.98,2.64
128.62,10.63,4.22,2.50
130.78,0.01,5.84,2.57
132.31,30.64,3.44,2.34
140.91,12.78,5.78,2.62
157.63,0.00,5.67,2.57
159.62,16.17,4.64,2.47
180.81,5.42,5.52,2.63
254.87,0.00,6.03,2.81
72.18,2.21,4.74,2.58
224.40,8.71,5.28,2.10
241.96,5.12,2.91,1.51
253.57,17.72,3.58,1.58
246.51,0.00,3.38,1.50
299.71,10.42,3.23,1.65
102.75,3.10,2.02,1.28
17.61,1.24,2.50,1.32
60.10,6.18,2.14,1.27
212.40,9.78,3.02,1.49
50.53,0.03,1.96,1.27
201.19,6.39,5.05,1.65
146.48,24.52,2.52,1.26
69.41,4.47,1.89,1.25
287.77,0.33,4.26,1.60
107.09,3.75,2.57,1.34
171.99,5.65,2.63,1.36
155.39,3.44,2.06,1.28
196.91,9.02,2.88,1.40
83.70,8.03,2.14,1.19
23.12,2.66,1.81,1.18
38.53,0.03,1.77,1.16
177.84,14.43,2.78,1.39
149.57,6.45,2.98,1.44
88.42,2.28,1.93,1.24
52.82,1.62,1.96,1.28
272.10,12.09,4.21,1.86
229.35,17.34,3.47,1.43
212.71,16.44,3.63,1.54
211.17,1.89,3.64,1.73
252.15,4.32,3.50,1.55
51.11,0.27,2.46,1.28
138.99,21.64,2.30,1.30
159.57,2.49,2.20,1.33
309.14,18.08,3.61,1.62
141.11,2.65,2.70,1.48
47.90,3.86,1.83,1.27
262.00,9.50,3.84,1.70
184.38,4.09,3.25,1.46
168.50,15.70,3.05,1.45
193.39,10.28,2.81,1.41
214.20,4.37,3.24,1.44
32.10,4.62,1.82,1.22
174.01,28.45,1.96,1.23
165.70,10.40,3.75,1.57
168.46,15.32,2.53,1.32
305.22,0.01,2.92,1.45
138.71,0.30,2.26,1.46
116.65,1.47,2.90,1.48
70.23,2.82,2.16,1.30
206.68,2.83,2.96,1.49
107.87,0.52,2.96,1.33
271.07,0.01,3.04,1.60
219.43,19.35,3.25,1.50
236.27,14.59,2.29,1.41
235.23,5.23,2.48,1.41
109.55,7.72,2.14,1.29
111.81,6.21,3.04,1.46
206.00,11.53,3.25,1.53
261.42,13.19,3.28,1.44
188.29,19.49,2.47,1.39
84.52,1.78,2.17,1.32
180.92,5.62,3.57,1.72
38.09,0.07,2.11,1.30
344.82,12.26,4.07,1.64
156.75,19.24,2.64,1.39
171.89,5.18,2.46,1.33
47.82,0.03,1.92,1.25
220.69,5.46,2.74,1.38
213.45,28.00,2.55,1.38
