mean,std,max_time,avg_time
137.76,1.27,5.45,2.13
171.34,3.16,7.07,2.19
257.53,11.75,4.18,1.95
143.62,0.66,4.53,1.81
197.76,2.15,3.74,1.84
57.51,1.75,3.76,1.78
255.15,5.29,41.45,4.17
240.89,23.17,36.26,2.94
135.60,6.29,5.76,2.09
182.89,6.13,7.48,2.44
19.14,2.72,4.93,1.83
174.99,6.39,21.05,2.94
221.01,0.18,6.53,2.59
246.03,0.22,7.92,2.12
31.63,3.88,3.86,1.67
113.57,0.00,3.90,1.91
15.71,0.01,3.72,1.38
241.59,0.02,3.44,1.61
170.12,0.01,3.86,1.80
114.14,0.00,4.20,1.86
171.02,5.64,31.83,2.70
157.72,0.02,10.66,2.38
118.06,0.00,4.62,1.85
128.93,3.16,8.93,3.09
108.74,10.77,6.16,2.30
135.71,9.21,8.20,2.46
152.76,6.77,6.81,2.44
136.95,12.78,5.63,2.03
177.85,5.68,4.44,2.02
218.40,7.72,7.59,2.11
68.72,3.55,4.46,1.92
224.44,8.65,4.63,1.87
190.18,5.10,5.11,2.19
219.40,0.43,5.84,2.49
202.80,4.71,7.26,2.24
311.96,17.98,16.17,3.44
83.65,10.74,4.93,1.92
16.90,1.40,4.53,1.95
53.02,1.52,4.00,1.55
212.21,8.40,6.48,2.02
50.56,0.03,3.96,1.46
194.96,11.56,11.48,1.97
124.00,1.10,5.46,2.07
75.22,3.25,4.55,1.54
319.17,18.08,11.70,2.40
109.44,1.88,4.46,1.95
172.71,4.67,4.82,2.10
141.87,9.00,4.88,1.67
169.99,7.44,4.97,2.00
75.89,8.49,5.16,1.76
24.46,2.32,4.01,1.74
38.52,0.00,3.57,1.69
162.29,2.39,4.50,1.92
150.71,14.27,4.96,1.97
88.46,2.26,4.94,1.84
55.60,2.26,4.27,1.81
267.95,13.27,5.10,1.83
218.44,0.89,4.36,1.93
203.45,11.94,6.28,2.45
204.36,10.28,13.55,2.31
219.19,15.46,4.16,1.94
51.52,0.27,6.03,2.00
122.43,0.81,5.29,2.01
160.68,2.88,5.28,2.10
307.75,17.48,37.13,2.61
122.15,0.11,5.10,2.10
48.20,3.44,5.70,1.94
255.30,0.43,5.08,1.95
183.41,0.11,3.42,1.60
147.55,2.20,4.97,1.98
197.39,12.24,4.22,1.85
177.27,4.38,4.74,2.09
29.78,4.00,4.21,1.56
185.37,29.27,6.60,1.83
158.87,5.20,7.01,2.15
139.54,2.41,5.35,1.93
298.44,11.75,5.65,1.93
142.21,4.52,11.62,2.12
117.10,1.01,4.77,2.16
69.25,0.48,6.15,1.96
206.12,0.63,19.50,3.23
109.01,0.87,7.52,2.40
257.62,0.01,61.65,7.32
208.91,16.78,4.54,1.82
225.31,4.39,16.59,2.44
240.00,17.25,17.55,2.98
104.42,1.14,5.36,1.91
114.68,9.73,4.51,2.08
212.78,12.98,5.02,2.08
258.14,14.30,7.23,1.90
168.24,0.97,3.90,1.90
84.89,1.30,5.95,1.95
192.22,7.80,9.88,2.14
38.99,0.81,3.83,1.42
324.64,17.50,6.27,2.08
153.59,15.16,4.49,1.90
169.39,3.28,7.21,1.84
47.23,1.01,5.27,1.65
221.56,6.36,4.62,1.77
170.16,1.99,5.75,1.67
