mean,std,max_time,avg_time
137.19,0.30,5.83,2.77
192.36,14.16,9.91,3.17
250.57,13.79,6.07,2.69
147.31,7.06,4.92,2.15
197.76,2.15,5.51,2.15
54.34,0.07,5.69,2.13
255.34,5.10,43.35,3.93
245.35,22.28,24.84,2.88
135.11,3.00,10.09,2.65
186.58,3.18,5.42,2.47
18.90,0.00,11.12,2.37
175.41,10.25,15.96,2.23
226.99,10.18,9.31,3.42
264.42,18.71,24.76,2.92
31.60,3.93,7.17,2.61
120.26,5.62,8.27,2.71
15.71,0.01,5.02,1.77
241.57,0.01,5.83,1.72
169.68,0.78,6.86,2.03
122.96,15.09,6.53,2.47
168.28,1.36,43.45,3.92
165.80,7.54,8.77,2.67
115.61,16.14,11.56,2.79
124.63,7.12,15.68,3.05
108.71,10.89,5.56,2.18
143.11,15.26,9.03,2.46
150.77,11.87,5.89,2.69
132.03,15.45,6.93,2.28
179.83,4.55,8.90,2.76
221.26,2.85,6.31,2.49
71.68,3.80,5.84,2.54
229.42,0.00,4.86,1.95
194.16,9.33,6.80,2.45
219.32,0.66,7.03,2.81
205.20,3.93,7.40,2.73
314.88,13.02,18.74,3.20
89.85,12.40,6.04,2.15
15.00,0.58,5.26,1.90
53.76,0.03,5.44,1.73
212.29,9.97,8.54,2.06
50.57,0.04,4.61,1.70
203.14,8.31,4.71,1.76
142.51,19.85,5.61,2.02
70.79,3.84,4.75,1.77
301.34,21.99,16.31,2.20
110.21,5.87,5.48,2.34
176.45,9.22,12.62,2.50
153.36,6.95,5.97,2.45
172.86,7.41,7.02,2.41
76.33,8.23,5.72,2.16
25.79,0.01,6.44,2.58
38.52,0.00,5.96,2.23
162.29,2.38,5.03,2.19
152.42,5.50,5.87,2.49
89.71,0.27,5.71,2.43
55.50,2.19,5.14,2.18
269.97,9.98,6.78,2.06
218.89,0.77,5.42,2.19
207.28,12.90,6.32,2.14
210.31,0.44,4.74,1.78
205.74,2.04,5.72,2.40
51.35,0.18,6.43,2.32
126.02,5.04,6.48,2.38
159.87,1.30,8.43,2.16
304.99,13.29,37.88,2.62
120.85,1.24,7.38,2.72
50.35,4.19,6.74,2.47
265.02,9.52,16.61,2.46
182.07,3.74,6.43,1.97
147.61,0.36,6.97,2.81
188.29,7.12,9.63,2.54
193.89,18.82,7.57,2.72
34.39,4.01,6.58,2.32
157.84,1.00,6.74,2.50
156.62,5.41,7.83,2.72
146.83,8.51,7.12,2.58
305.22,0.01,5.88,2.15
138.75,0.59,7.10,1.87
115.94,1.92,13.44,2.83
67.59,1.91,16.79,3.01
211.89,4.03,11.63,2.49
109.75,9.80,8.96,2.26
258.41,0.78,62.13,5.84
227.44,17.91,5.76,2.03
226.64,2.09,6.59,2.16
226.97,16.32,16.04,2.55
104.26,1.46,16.28,3.60
115.94,7.54,7.54,3.28
217.61,13.32,13.50,2.60
242.04,4.39,9.81,2.29
167.97,0.92,7.48,2.73
83.55,1.37,7.07,2.43
180.36,5.34,4.89,1.86
41.32,5.50,6.44,1.77
336.04,21.66,7.69,2.04
159.97,18.45,5.95,2.41
164.89,6.51,12.92,2.34
47.39,0.75,6.39,2.09
220.08,5.75,11.45,2.36
184.83,27.95,4.83,2.13
