mean,std,max_time,avg_time
190.38,0.00,2.83,0.55
186.45,0.00,0.31,0.27
245.61,0.00,0.26,0.23
167.36,0.00,0.25,0.22
209.38,0.00,0.33,0.26
66.15,0.00,0.34,0.28
316.16,0.00,0.26,0.22
273.12,0.00,0.26,0.20
145.67,0.00,0.24,0.22
208.71,0.00,0.26,0.22
32.40,0.00,0.27,0.23
236.75,0.00,0.36,0.25
265.44,0.00,2.89,0.56
289.64,0.00,0.33,0.26
43.48,0.00,0.24,0.21
123.63,0.00,0.24,0.20
15.07,0.00,0.30,0.25
223.54,0.00,0.36,0.29
175.27,0.00,0.27,0.22
121.50,0.00,0.26,0.20
181.02,0.00,0.27,0.21
194.02,0.00,0.24,0.21
130.48,0.00,0.28,0.21
137.74,0.00,0.40,0.26
173.54,0.00,2.77,0.54
161.83,0.00,0.33,0.28
134.90,0.00,0.24,0.22
176.09,0.00,0.27,0.21
194.33,0.00,0.34,0.26
238.86,0.00,0.32,0.28
78.24,0.00,0.31,0.23
234.16,0.00,0.24,0.21
237.84,0.00,0.23,0.21
249.59,0.00,0.26,0.22
233.66,0.00,0.28,0.23
358.38,0.00,0.32,0.22
101.72,0.00,2.87,0.53
28.47,0.00,0.32,0.27
86.00,0.00,0.23,0.20
224.49,0.00,0.26,0.21
123.00,0.00,0.32,0.24
244.83,0.00,0.37,0.30
163.30,0.00,0.30,0.23
149.26,0.00,0.23,0.20
342.31,0.00,0.24,0.21
137.34,0.00,0.23,0.21
180.09,0.00,0.26,0.21
132.25,0.00,0.41,0.26
205.55,0.00,2.69,0.51
98.31,0.00,0.33,0.27
35.19,0.00,0.27,0.23
104.35,0.00,0.26,0.20
179.87,0.00,0.31,0.25
137.80,0.00,0.34,0.30
96.32,0.00,0.25,0.22
64.40,0.00,0.24,0.21
285.91,0.00,0.23,0.22
235.25,0.00,0.25,0.21
217.79,0.00,0.26,0.24
264.80,0.00,0.33,0.25
234.85,0.00,2.57,0.51
80.58,0.00,0.29,0.24
137.52,0.00,0.28,0.23
177.87,0.00,0.24,0.21
322.48,0.00,0.35,0.26
139.26,0.00,0.40,0.29
63.24,0.00,0.30,0.23
292.39,0.00,0.25,0.22
190.73,0.00,0.25,0.22
161.14,0.00,0.25,0.22
202.09,0.00,0.30,0.23
206.37,0.00,0.33,0.23
49.55,0.00,2.46,0.50
168.25,0.00,0.33,0.26
184.37,0.00,0.24,0.20
160.46,0.00,0.25,0.21
309.60,0.00,0.34,0.25
174.43,0.00,0.35,0.28
133.98,0.00,0.31,0.25
75.47,0.00,0.26,0.21
220.41,0.00,0.24,0.22
110.96,0.00,0.26,0.21
301.03,0.00,0.30,0.24
220.20,0.00,0.32,0.24
261.99,0.00,2.67,0.52
251.16,0.00,0.34,0.25
110.41,0.00,0.22,0.18
120.95,0.00,0.26,0.20
222.46,0.00,0.28,0.24
265.82,0.00,0.36,0.30
154.71,0.00,0.31,0.23
94.99,0.00,0.21,0.19
217.32,0.00,0.23,0.21
141.52,0.00,0.26,0.21
340.07,0.00,0.25,0.22
141.55,0.00,0.33,0.25
179.47,0.00,0.25,0.14
53.20,0.00,0.13,0.10
232.46,0.00,0.12,0.10
211.44,0.00,0.12,0.10
