mean,std,max_time,avg_time
182.02,0.00,2.48,0.63
180.27,0.00,0.78,0.54
201.04,0.00,1.46,0.82
144.41,0.00,0.72,0.47
166.78,0.00,0.78,0.51
66.78,0.00,0.62,0.45
285.96,0.00,2.16,0.51
255.04,0.00,0.99,0.49
110.68,0.00,1.60,0.82
153.22,0.00,0.70,0.49
33.79,0.00,0.64,0.47
219.14,0.00,0.88,0.53
227.16,0.00,2.24,0.56
233.38,0.00,0.93,0.50
66.18,0.00,1.66,0.86
104.90,0.00,0.62,0.46
22.22,0.00,0.84,0.52
184.07,0.00,0.75,0.45
146.05,0.00,2.30,0.59
110.98,0.00,1.02,0.50
148.59,0.00,1.67,0.84
155.52,0.00,0.74,0.49
99.61,0.00,0.85,0.52
106.78,0.00,0.58,0.44
153.88,0.00,2.62,0.66
117.06,0.00,1.82,0.66
112.82,0.00,1.35,0.71
131.68,0.00,0.68,0.49
161.21,0.00,0.73,0.48
188.73,0.00,0.69,0.43
57.89,0.00,2.47,0.65
180.00,0.00,1.39,0.67
168.96,0.00,1.19,0.68
230.65,0.00,0.80,0.49
184.49,0.00,0.72,0.51
351.89,0.00,0.64,0.42
77.28,0.00,2.52,0.66
43.35,0.00,1.53,0.74
68.35,0.00,1.36,0.63
175.33,0.00,0.75,0.51
75.79,0.00,0.80,0.49
226.65,0.00,0.71,0.39
141.20,0.00,2.60,0.65
91.90,0.00,1.83,0.71
324.55,0.00,1.48,0.70
101.72,0.00,1.02,0.51
142.39,0.00,0.67,0.45
107.92,0.00,0.59,0.41
166.51,0.00,3.10,0.63
90.34,0.00,1.76,0.69
43.11,0.00,1.54,0.70
65.17,0.00,0.70,0.47
156.96,0.00,0.79,0.49
125.94,0.00,0.72,0.42
100.82,0.00,2.95,0.66
79.34,0.00,1.08,0.63
256.29,0.00,1.52,0.73
197.93,0.00,0.78,0.51
179.31,0.00,0.67,0.48
192.74,0.00,0.58,0.39
196.31,0.00,3.22,0.71
66.89,0.00,1.46,0.76
142.79,0.00,1.07,0.60
167.86,0.00,0.72,0.47
312.11,0.00,0.77,0.49
115.40,0.00,0.69,0.37
63.48,0.00,3.28,0.72
283.81,0.00,1.71,0.74
149.22,0.00,1.12,0.62
132.79,0.00,0.70,0.52
170.90,0.00,0.79,0.50
158.38,0.00,0.55,0.32
50.28,0.00,3.35,0.73
177.87,0.00,1.76,0.75
129.88,0.00,0.89,0.64
132.23,0.00,0.81,0.51
244.23,0.00,0.62,0.45
121.98,0.00,0.55,0.32
102.99,0.00,3.27,0.71
86.08,0.00,1.24,0.71
170.60,0.00,1.00,0.61
106.65,0.00,0.72,0.49
265.17,0.00,0.79,0.48
188.93,0.00,0.61,0.39
214.50,0.00,3.22,0.67
208.70,0.00,1.77,0.70
110.49,0.00,1.57,0.60
88.60,0.00,0.73,0.49
169.79,0.00,0.77,0.46
215.43,0.00,0.67,0.42
155.13,0.00,3.03,0.65
105.26,0.00,1.31,0.66
208.13,0.00,1.36,0.68
71.66,0.00,0.80,0.52
316.46,0.00,0.74,0.50
127.50,0.00,0.66,0.38
154.38,0.00,0.13,0.10
70.51,0.00,0.12,0.09
200.30,0.00,0.09,0.07
190.37,0.00,0.08,0.07
