mean,std,max_time,avg_time
192.53,0.00,2.00,0.55
196.76,0.00,0.50,0.40
256.84,0.00,0.52,0.41
166.67,0.00,0.47,0.40
223.49,0.00,0.52,0.41
85.84,0.00,0.49,0.40
320.51,0.00,0.55,0.40
272.59,0.00,0.57,0.41
145.85,0.00,0.52,0.41
221.62,0.00,0.53,0.41
34.76,0.00,0.55,0.40
227.96,0.00,0.53,0.41
259.94,0.00,0.53,0.40
308.84,0.00,0.52,0.40
72.25,0.00,0.51,0.40
136.10,0.00,0.53,0.42
24.58,0.00,0.51,0.41
227.90,0.00,0.49,0.39
189.20,0.00,0.52,0.39
135.10,0.00,0.54,0.39
188.76,0.00,0.49,0.38
179.87,0.00,0.44,0.38
138.98,0.00,0.48,0.38
151.40,0.00,0.55,0.39
173.54,0.00,0.56,0.42
168.49,0.00,0.52,0.40
147.94,0.00,0.53,0.42
160.10,0.00,0.56,0.40
209.32,0.00,0.54,0.41
250.19,0.00,0.54,0.39
71.79,0.00,0.51,0.38
238.49,0.00,0.54,0.39
241.65,0.00,0.57,0.45
261.49,0.00,0.52,0.40
232.57,0.00,0.53,0.40
368.23,0.00,0.52,0.40
103.30,0.00,0.53,0.39
37.71,0.00,0.54,0.41
89.46,0.00,0.52,0.40
223.43,0.00,0.50,0.40
126.27,0.00,0.55,0.41
244.36,0.00,0.55,0.41
164.26,0.00,0.53,0.41
128.67,0.00,0.53,0.40
342.31,0.00,0.53,0.39
133.49,0.00,0.55,0.40
183.25,0.00,0.55,0.40
148.87,0.00,0.53,0.40
203.16,0.00,0.59,0.42
111.74,0.00,0.57,0.43
45.49,0.00,0.55,0.40
87.38,0.00,0.53,0.40
177.73,0.00,0.52,0.40
146.68,0.00,0.57,0.40
106.37,0.00,0.57,0.41
83.91,0.00,0.54,0.40
291.38,0.00,0.54,0.41
257.23,0.00,0.57,0.41
227.65,0.00,0.59,0.46
270.11,0.00,0.55,0.43
234.85,0.00,0.56,0.41
93.70,0.00,0.55,0.41
152.70,0.00,0.54,0.42
192.41,0.00,0.57,0.42
322.48,0.00,0.71,0.49
128.74,0.00,0.58,0.45
53.93,0.00,0.58,0.42
293.13,0.00,0.57,0.42
195.14,0.00,0.49,0.40
178.36,0.00,0.55,0.41
206.41,0.00,0.57,0.41
220.97,0.00,0.55,0.43
54.43,0.00,0.55,0.42
192.20,0.00,0.60,0.41
179.70,0.00,0.55,0.41
148.16,0.00,0.55,0.41
309.60,0.00,0.54,0.40
164.37,0.00,0.53,0.39
142.53,0.00,0.58,0.40
77.42,0.00,0.54,0.41
231.08,0.00,0.59,0.43
114.76,0.00,0.54,0.40
302.42,0.00,0.54,0.40
221.63,0.00,0.55,0.40
261.61,0.00,0.55,0.41
260.44,0.00,0.55,0.40
122.38,0.00,0.54,0.39
121.29,0.00,0.53,0.40
218.62,0.00,0.58,0.43
266.97,0.00,0.57,0.40
178.50,0.00,0.60,0.41
105.22,0.00,0.54,0.40
231.10,0.00,0.51,0.40
96.36,0.00,0.53,0.40
340.07,0.00,0.52,0.39
162.79,0.00,0.54,0.40
172.78,0.00,0.57,0.43
56.12,0.00,0.60,0.43
257.67,0.00,0.53,0.40
211.44,0.00,0.48,0.38
