mean,std,max_time,avg_time
192.53,0.00,1.75,0.28
196.76,0.00,0.14,0.12
256.84,0.00,0.14,0.12
166.67,0.00,0.15,0.12
223.49,0.00,0.14,0.11
85.84,0.00,0.20,0.12
320.51,0.00,0.14,0.11
272.59,0.00,0.12,0.11
145.85,0.00,0.12,0.11
221.62,0.00,0.13,0.12
34.76,0.00,0.13,0.12
227.96,0.00,0.13,0.11
259.94,0.00,0.13,0.11
308.84,0.00,0.13,0.11
72.25,0.00,0.15,0.12
136.10,0.00,0.14,0.12
15.01,0.00,0.13,0.12
227.90,0.00,0.14,0.11
189.20,0.00,0.13,0.11
135.10,0.00,0.13,0.11
188.76,0.00,0.13,0.12
179.87,0.00,0.24,0.12
138.98,0.00,0.14,0.12
151.40,0.00,0.17,0.12
173.54,0.00,0.16,0.12
168.49,0.00,0.15,0.12
147.94,0.00,0.13,0.12
160.10,0.00,0.12,0.11
209.32,0.00,0.13,0.11
250.19,0.00,0.13,0.12
71.79,0.00,0.14,0.12
238.49,0.00,0.15,0.12
241.65,0.00,0.15,0.12
261.49,0.00,0.14,0.12
232.57,0.00,0.15,0.12
368.23,0.00,0.13,0.11
103.30,0.00,0.23,0.12
37.71,0.00,0.13,0.11
89.46,0.00,0.12,0.11
223.43,0.00,0.15,0.12
126.27,0.00,0.12,0.11
244.36,0.00,0.13,0.12
164.26,0.00,0.13,0.12
128.67,0.00,0.13,0.12
342.31,0.00,0.13,0.11
133.49,0.00,0.13,0.11
183.25,0.00,0.14,0.11
148.87,0.00,0.14,0.11
203.16,0.00,0.13,0.11
111.74,0.00,0.13,0.12
45.49,0.00,0.13,0.12
87.38,0.00,0.23,0.13
177.73,0.00,0.16,0.12
146.68,0.00,0.16,0.13
106.37,0.00,0.15,0.12
83.91,0.00,0.16,0.12
291.38,0.00,0.16,0.13
257.23,0.00,0.15,0.12
227.65,0.00,0.15,0.12
270.11,0.00,0.13,0.12
234.85,0.00,0.14,0.11
93.70,0.00,0.14,0.11
152.70,0.00,0.13,0.12
192.41,0.00,0.13,0.12
322.48,0.00,0.13,0.12
128.74,0.00,0.13,0.11
53.93,0.00,0.13,0.11
293.13,0.00,0.23,0.13
195.14,0.00,0.13,0.12
178.36,0.00,0.13,0.11
206.41,0.00,0.13,0.11
220.97,0.00,0.13,0.12
54.43,0.00,0.19,0.12
192.20,0.00,0.13,0.12
179.70,0.00,0.13,0.12
148.16,0.00,0.13,0.12
309.60,0.00,0.13,0.12
164.37,0.00,0.13,0.11
142.53,0.00,0.16,0.13
77.42,0.00,0.17,0.13
231.08,0.00,0.15,0.12
114.76,0.00,0.16,0.12
302.42,0.00,0.24,0.13
221.63,0.00,0.13,0.12
261.61,0.00,0.13,0.11
260.44,0.00,0.13,0.12
122.38,0.00,0.16,0.12
121.29,0.00,0.14,0.12
218.62,0.00,0.15,0.12
266.97,0.00,0.15,0.12
178.50,0.00,0.16,0.12
105.22,0.00,0.13,0.11
231.10,0.00,0.13,0.12
96.36,0.00,0.14,0.12
340.07,0.00,0.13,0.12
162.79,0.00,0.13,0.12
172.78,0.00,0.12,0.11
56.12,0.00,0.23,0.12
257.67,0.00,0.13,0.12
211.44,0.00,0.13,0.11
