mean,std,max_time,avg_time
155.86,26.40,6.38,1.75
185.61,14.65,3.93,1.44
248.78,10.52,4.36,1.48
152.99,16.90,2.33,1.14
198.04,3.70,4.33,1.48
58.52,0.08,3.27,1.31
243.30,12.40,4.49,1.67
254.89,22.41,3.85,1.66
138.58,1.12,3.41,1.27
188.41,0.00,3.42,1.34
20.41,2.51,2.09,1.10
175.19,7.24,3.48,1.53
230.67,16.83,2.90,1.31
230.32,15.11,3.92,1.73
35.50,0.02,2.48,1.27
111.63,3.35,3.17,1.31
15.71,0.00,2.11,1.15
241.58,0.03,3.62,1.42
165.97,7.24,3.09,1.30
110.41,6.68,2.24,1.12
165.67,2.17,2.70,1.33
169.59,20.56,2.24,1.16
118.06,0.00,2.42,1.17
129.97,1.37,3.37,1.26
99.87,15.41,2.15,1.13
142.91,16.50,2.21,1.20
131.35,15.25,3.24,1.35
145.98,20.54,2.36,1.19
181.16,2.78,3.64,1.39
225.90,4.92,3.49,1.39
69.00,5.25,2.90,1.25
214.57,8.58,3.34,1.30
190.06,5.26,2.58,1.24
220.84,2.31,4.05,1.52
210.46,12.95,3.84,1.56
325.66,9.89,4.85,1.92
79.46,3.51,2.73,1.23
16.15,1.27,1.88,1.07
52.94,1.47,2.14,1.09
218.05,0.00,5.69,1.73
50.56,0.03,1.94,1.09
201.35,6.15,4.68,1.50
136.34,20.44,2.17,1.12
68.88,1.20,2.20,1.12
298.11,18.58,5.35,1.65
105.78,3.17,2.58,1.22
179.59,3.78,2.80,1.16
152.12,14.76,1.89,1.08
169.44,6.84,2.80,1.25
84.64,8.95,2.19,1.16
24.46,2.31,2.06,1.11
39.38,1.45,1.99,1.09
164.67,0.00,2.92,1.17
136.84,8.24,3.01,1.28
88.82,2.48,2.04,1.11
56.44,0.82,2.10,1.10
264.47,11.61,4.31,1.52
215.20,6.17,3.40,1.29
196.86,2.39,4.58,1.63
209.01,2.15,4.33,1.73
204.75,2.02,3.47,1.40
51.24,0.35,2.53,1.30
123.24,0.76,2.93,1.33
169.20,8.35,2.47,1.33
274.20,16.84,5.52,1.83
120.86,1.23,3.59,1.47
50.46,4.09,2.29,1.28
269.59,7.09,4.35,1.71
185.34,2.18,3.78,1.55
152.45,7.61,3.73,1.42
196.53,10.14,2.83,1.34
192.66,19.87,3.00,1.36
32.09,4.62,2.09,1.20
158.39,1.19,2.58,1.28
162.93,2.35,3.89,1.41
139.20,2.72,2.68,1.35
305.22,0.01,3.32,1.44
143.59,7.78,2.86,1.47
117.87,3.67,3.38,1.47
68.83,1.20,2.33,1.22
211.09,6.84,3.51,1.49
103.35,2.46,3.39,1.43
262.28,15.26,4.61,1.77
227.42,17.93,3.48,1.48
225.07,2.78,2.74,1.38
232.21,0.00,2.68,1.37
106.17,1.86,2.43,1.24
104.50,1.92,3.49,1.44
212.53,13.25,4.21,1.57
256.36,15.57,3.72,1.47
167.69,0.79,2.84,1.31
85.93,0.01,2.49,1.27
186.12,6.80,4.38,1.76
41.68,5.28,2.33,1.25
351.89,0.04,4.80,1.67
160.84,14.18,2.68,1.33
165.46,3.88,2.71,1.41
47.35,0.70,2.33,1.24
218.27,0.00,2.98,1.29
191.78,37.74,2.97,1.25
